lng,lat,heatwave,seamask,xd,yd,ddis,sst,anom,sst_dis,td_flag
-179.875,-30.875,1,,179.625,-31.875,120.902389425239,23.5853328704834,1.24711763858795,22.3269996643066,TRUE
-179.875,-30.625,1,,179.875,-31.625,113.712675011941,23.7320003509522,1.23695182800293,22.474666595459,TRUE
-179.875,-30.375,1,,-179.875,-31.625,138.993658305687,23.6753330230713,1.01734411716461,22.5469989776611,TRUE
-179.875,-30.125,1,,-179.875,-31.375,138.993658305719,23.6903324127197,0.877155780792236,22.7980003356934,TRUE
-179.875,-29.875,1,,-178.375,-30.625,166.473464553624,23.9553337097168,0.996187388896942,22.92799949646,TRUE
-179.875,-29.625,1,,-178.625,-30.625,163.756863886197,24.3863334655762,1.28299939632416,23.0913333892822,TRUE
-179.875,-29.375,1,,-178.625,-30.125,146.685435182621,24.7533321380615,1.47696506977081,23.1943321228027,TRUE
-179.875,-29.125,1,,-178.625,-29.875,146.932177514649,24.8743324279785,1.39394223690033,23.4703330993652,TRUE
-179.875,-28.875,1,,-179.125,-29.875,132.836400731094,24.8076667785645,1.11776649951935,23.6636657714844,TRUE
-179.875,-28.625,1,,-179.375,-29.875,147.214582112753,24.7006664276123,0.826484799385071,23.7969989776611,TRUE
-179.875,6.625,1,,179.125,9.875,377.762244069669,29.0779991149902,0.549175560474396,28.5100002288818,TRUE
-179.875,6.875,1,,179.125,9.875,351.251854532787,29.1079998016357,0.596561849117279,28.5100002288818,TRUE
-179.875,7.125,1,,179.375,10.125,343.621378233012,29.0766658782959,0.587971568107605,28.4656658172607,TRUE
-179.875,7.375,1,,179.125,10.125,324.931991823829,29.0306663513184,0.572768807411194,28.4029998779297,TRUE
-179.875,7.625,1,,179.125,10.125,298.906174062397,29.0003318786621,0.572802066802979,28.4029998779297,TRUE
-179.875,7.875,1,,178.875,10.125,285.373732264112,28.9029998779297,0.511752009391785,28.3873329162598,TRUE
-179.875,8.125,1,,179.125,10.375,273.198626485107,28.8313331604004,0.481096535921097,28.3013324737549,TRUE
-179.875,8.375,1,,179.125,10.375,247.976091806731,28.8063335418701,0.49604743719101,28.3013324737549,TRUE
-179.875,8.625,1,,179.125,10.625,247.940666167151,28.7806663513184,0.519106984138489,28.2290000915527,TRUE
-179.875,8.875,1,,178.625,10.625,254.725786976976,28.7923336029053,0.588665902614594,28.1959991455078,TRUE
-179.875,9.125,1,,178.375,10.875,273.105128240815,28.8096656799316,0.671293914318085,28.1383323669434,TRUE
-179.875,9.375,1,,-179.625,12.125,307.002984492671,28.8116664886475,0.747921943664551,28.0556659698486,TRUE
-179.875,9.625,1,,-179.625,12.375,307.00094877409,28.7973327636719,0.805530786514282,27.9816665649414,TRUE
-179.875,9.875,1,,179.625,12.625,310.608916117493,28.7389984130859,0.8163703083992,27.9126663208008,TRUE
-179.875,10.125,1,,179.625,13.125,337.999419555479,28.6399993896484,0.784330010414124,27.8219985961914,TRUE
-179.875,10.375,1,,179.625,13.375,337.991460055527,28.5336666107178,0.748945355415344,27.7689990997314,TRUE
-179.875,10.625,1,,179.625,13.625,337.98334092129,28.4593334197998,0.740189611911774,27.7043323516846,TRUE
-179.875,10.875,1,,179.625,13.875,337.975062759593,28.4189987182617,0.773102819919586,27.6373329162598,TRUE
-179.875,11.125,1,,-179.875,14.375,361.38351159482,28.3836650848389,0.815470516681671,27.5153331756592,TRUE
-179.875,11.375,1,,-179.875,14.625,361.38351159482,28.3263320922852,0.823172330856323,27.474666595459,TRUE
-179.875,11.625,1,,-179.125,14.625,343.326887608277,28.2530002593994,0.807249426841736,27.4329986572266,TRUE
-179.875,11.875,1,,-179.125,14.875,343.307158176297,28.1466655731201,0.757362484931946,27.3796653747559,TRUE
-179.875,12.125,1,,-179.875,15.375,361.38351159482,28.0733318328857,0.744336307048798,27.2779998779297,TRUE
-179.875,12.375,1,,179.875,15.375,334.674377459243,28.0059986114502,0.738824307918549,27.261999130249,TRUE
-179.875,12.625,1,,179.375,15.375,316.309168808172,27.9556655883789,0.748445808887482,27.2003326416016,TRUE
-179.875,12.875,1,,179.625,15.625,310.496740562932,27.9266662597656,0.785305678844452,27.1099987030029,TRUE
-179.875,13.125,1,,179.375,15.625,289.48566485941,27.8803329467773,0.794683218002319,27.0796661376953,TRUE
-179.875,13.375,1,,-179.875,15.875,277.987316611375,27.8309993743897,0.801202416419983,27.0233325958252,TRUE
-179.875,13.625,1,,-179.875,16.125,277.987316611392,27.7709999084473,0.790976762771606,26.824333190918,TRUE
-179.875,13.875,1,,-179.875,16.125,250.188584950263,27.6889991760254,0.757042467594147,26.824333190918,TRUE
-179.875,14.125,1,,-179.875,16.125,222.389853289132,27.5986652374268,0.71576601266861,26.824333190918,TRUE
-179.875,14.375,1,,-179.875,16.125,194.591121627989,27.5153331756592,0.682732462882996,26.824333190918,TRUE
-179.875,14.625,1,,-179.625,16.125,168.932226622541,27.474666595459,0.683948576450348,26.7689990997314,TRUE
-179.875,14.875,1,,-179.375,16.125,148.96113606051,27.4276657104492,0.674697279930115,26.7379989624023,TRUE
-179.875,15.125,1,,-179.875,16.375,138.993658305687,27.3680000305176,0.640029489994049,26.5813331604004,TRUE
-179.875,15.375,1,,-179.875,16.375,111.194926644548,27.2779998779297,0.570630788803101,26.5813331604004,TRUE
-179.875,15.625,1,,-179.875,16.375,83.3961949834346,27.1763324737549,0.49493071436882,26.5813331604004,TRUE
-179.625,-60.125,1,,179.625,-60.375,49.8521849061392,4.52533340454102,0.775478482246399,3.72499990463257,TRUE
-179.625,-59.875,1,,-179.875,-60.375,57.2957204646926,4.90133333206177,0.912038207054138,3.90399980545044,TRUE
-179.625,-59.625,1,,179.625,-60.125,69.5904974790202,5.13399982452393,0.907697737216949,4.14466667175293,TRUE
-179.625,-59.375,1,,179.375,-59.875,79.0711458760798,5.23366641998291,0.768581509590149,4.44433307647705,TRUE
-179.625,-56.625,1,,-179.625,-56.875,27.7987316612964,7.31333303451538,0.62547093629837,6.59733295440674,TRUE
-179.625,-56.375,1,,-179.875,-56.625,31.7518265023317,7.95533323287964,0.893486797809601,6.875,TRUE
-179.625,-56.125,1,,179.875,-56.375,41.5552694536928,8.40433311462402,0.985913217067719,7.21199989318848,TRUE
-179.625,-55.875,1,,179.625,-56.125,54.2909215373182,8.71266651153565,0.997638583183289,7.62933301925659,TRUE
-179.625,-55.625,1,,179.875,-56.125,63.7483741017662,8.94533348083496,1.00585329532623,7.92533302307129,TRUE
